"code1","code2","source"
"RXNORM:733","PheCode:994.2","may treat(jun)"
"RXNORM:733","PheCode:NA","may treat(jun)"
"RXNORM:733","PheCode:480.13","may treat(jun)"
"RXNORM:733","PheCode:320","may treat(jun)"
"RXNORM:733","PheCode:420.3","may treat(jun)"
"RXNORM:733","PheCode:465.2","may treat(jun)"
"RXNORM:733","PheCode:41.4","may treat(jun)"
"RXNORM:733","PheCode:136","may treat(jun)"
"RXNORM:733","PheCode:475","may treat(jun)"
"RXNORM:1001","PheCode:381.11","may treat(jun)"
"RXNORM:1043","PheCode:315.3","may treat(jun)"
"RXNORM:1056","PheCode:459.1","may treat(jun)"
"RXNORM:1151","PheCode:NA","may treat(jun)"
"RXNORM:1151","PheCode:523","may treat(jun)"
"RXNORM:1169","PheCode:790.6","may treat(jun)"
"RXNORM:1191","PheCode:NA","may treat(jun)"
"RXNORM:1191","PheCode:338.1","may treat(jun)"
"RXNORM:1191","PheCode:79.9","may treat(jun)"
"RXNORM:1191","PheCode:411.2","may treat(jun)"
"RXNORM:1191","PheCode:340","may treat(jun)"
"RXNORM:1191","PheCode:760","may treat(jun)"
"RXNORM:1191","PheCode:525","may treat(jun)"
"RXNORM:1191","PheCode:745","may treat(jun)"
"RXNORM:1191","PheCode:716","may treat(jun)"
"RXNORM:1191","PheCode:714.1","may treat(jun)"
"RXNORM:1191","PheCode:465","may treat(jun)"
"RXNORM:1202","PheCode:411.2","may treat(jun)"
"RXNORM:1202","PheCode:401.1","may treat(jun)"
"RXNORM:1202","PheCode:411.3","may treat(jun)"
"RXNORM:1227","PheCode:714.1","may treat(jun)"
"RXNORM:1251","PheCode:204.3","may treat(jun)"
"RXNORM:1251","PheCode:204.21","may treat(jun)"
"RXNORM:1251","PheCode:NA","may treat(jun)"
"RXNORM:1256","PheCode:714.1","may treat(jun)"
"RXNORM:1272","PheCode:567","may treat(jun)"
"RXNORM:1272","PheCode:041","may treat(jun)"
"RXNORM:1272","PheCode:657","may treat(jun)"
"RXNORM:1272","PheCode:480.12","may treat(jun)"
"RXNORM:1272","PheCode:41.4","may treat(jun)"
"RXNORM:1272","PheCode:136","may treat(jun)"
"RXNORM:1272","PheCode:591","may treat(jun)"
"RXNORM:1272","PheCode:519.8","may treat(jun)"
"RXNORM:1272","PheCode:NA","may treat(jun)"
"RXNORM:1272","PheCode:614.33","may treat(jun)"
"RXNORM:1272","PheCode:480.1","may treat(jun)"
"RXNORM:1272","PheCode:38.1","may treat(jun)"
"RXNORM:1272","PheCode:614.4","may treat(jun)"
"RXNORM:1272","PheCode:994.2","may treat(jun)"
"RXNORM:1272","PheCode:686","may treat(jun)"
"RXNORM:1291","PheCode:370","may treat(jun)"
"RXNORM:1291","PheCode:41.1","may treat(jun)"
"RXNORM:1291","PheCode:369.5","may treat(jun)"
"RXNORM:1292","PheCode:772.2","may treat(jun)"
"RXNORM:1348","PheCode:476","may treat(jun)"
"RXNORM:1348","PheCode:472","may treat(jun)"
"RXNORM:1348","PheCode:495","may treat(jun)"
"RXNORM:1348","PheCode:NA","may treat(jun)"
"RXNORM:1348","PheCode:471","may treat(jun)"
"RXNORM:1388","PheCode:132","may treat(jun)"
"RXNORM:1388","PheCode:132.1","may treat(jun)"
"RXNORM:1399","PheCode:939","may treat(jun)"
"RXNORM:1399","PheCode:110.12","may treat(jun)"
"RXNORM:1399","PheCode:512.8","may treat(jun)"
"RXNORM:1399","PheCode:698","may treat(jun)"
"RXNORM:1399","PheCode:465.2","may treat(jun)"
"RXNORM:1399","PheCode:NA","may treat(jun)"
"RXNORM:1399","PheCode:110.13","may treat(jun)"
"RXNORM:1406","PheCode:212","may treat(jun)"
"RXNORM:1406","PheCode:647","may treat(jun)"
"RXNORM:1406","PheCode:689","may treat(jun)"
